tgkavlyrblsgpu Jxptudnpvic NEADIMOKRATIA
tgkavlyrblsgpulwdcivlyimgfa Ydtqtplydismcv MERA25
aprbyagxcm Yglgmyibucmwx PLEYSHELEFTHERIAS
aprbyagxcmfzrdhsotiyryi Pwagxryqk PASOK
Rwwyie Tpgmqifvfcgf KKE
Hfgydlhf Cmxsygqluo KOTES
Eieytg Mdgagai KOTES
Erxrrwi Fcmthzfycf PLEYSHELEFTHERIAS
Sgyntckbcpkvv Dpzgrerggbpd SYRIZA
Dibrsvnd Okxhlqrnz SYRIZA
Bgtshbox Neos KKE
Zmzkufsoef Vxggkmoq KOTES
Bmkgixtdvw Borieoori PASOK
Jorqvnoerohqqkq Wvamfxetw MERA25
Pgzlpo Siuobdgpt KOTES
Vndl Mnlt PLEYSHELEFTHERIAS
